Name;DisplayName;GivenName;Surname;Company;SamAccountName;Mailnickname;EmployeeNumber;EmailAddress;HomePhone;StreetAddress;PostalCode;City;State;Office;Title;Password;Description;Id;Uid;UserPrincipalName 
Danilo Abbott;Abbott, Danilo;Danilo;Abbott;Contoso Ltd;AbboD;danilo.abbott;9289;danilo.abbott@email.com;+256 (963) 888-5268;103 Jenni Turnpike;45453-8561;South Rodrickport;Nevada;DennyRegrade (floor 7);Dynamic Marketing Director;v{SVyT5H;DennyRegrade;9289;2b3e899d-499a-4dd4-b9ae-a2b7469e8496;danilo.abbott@contoso.com
Jerrica Abbott;Abbott, Jerrica;Jerrica;Abbott;Contoso Ltd;AbboJ;jerrica.abbott;9538;jerrica.abbott@email.com;+250 1-222-762-0457;630 Eliz Villages;17584-6575;Rolfsonton;Virginia;Ballard (floor 7);Community-Services Officer;J9nPf`BN;Ballard;9538;f8150e77-dda6-4c9e-bcde-5feff369a65a;jerrica.abbott@contoso.com
Kendall Abbott;Abbott, Kendall;Kendall;Abbott;Contoso Ltd;AbboK;kendall.abbott;6906;kendall.abbott@email.com;+1-264 1-322-166-0758;6384 Shante Tunnel;50724-7913;Dorianfort;Maryland;Madrona (floor 9);Lead Technology Coordinator;x`2pTu8b;Madrona;6906;e4917cbd-c617-405f-b40f-15e82150a3f8;kendall.abbott@contoso.com
Lana Abbott;Abbott, Lana;Lana;Abbott;Contoso Ltd;AbboL;lana.abbott;8596;lana.abbott@email.com;+236 343.211.0424 x67617;57690 Dominique Fall;02435-8119;West Al;Rhode Island;Pinehurst (floor 6);District Planner;p*hrf19m;Pinehurst;8596;d365902e-219d-450d-b95c-945f336c0a3d;lana.abbott@contoso.com
Vincent Abbott;Abbott, Vincent;Vincent;Abbott;Contoso Ltd;AbboV;vincent.abbott;7453;vincent.abbott@email.com;+235 719-892-2976 x3574;16781 Rice Tunnel;14130-3658;North Faviolastad;New Hampshire;QueenAnneHill (floor 5);Technology Director;JCr6hu}p;QueenAnneHill;7453;53376994-5e20-41f2-b7d0-9cce8b60d570;vincent.abbott@contoso.com
Bernardine Abernathy;Abernathy, Bernardine;Bernardine;Abernathy;Contoso Ltd;AberB;bernardine.aber;6112;bernardine.abernathy@email.com;+230 1-524-947-2487 x6296;9715 Kasi Inlet;80229-7814;New Lynnville;Georgia;Sodo (floor 5);Legacy Farming Director;?x6BKCcG;Sodo;6112;94f71812-9622-4a78-a57e-e27ab3949fea;bernardine.abernathy@contoso.com
Livia Abshire;Abshire, Livia;Livia;Abshire;Contoso Ltd;AbshL;livia.abshire;3415;livia.abshire@email.com;+254 535.023.1725 x041;90358 Celesta Roads;10772-6707;New Bobbie;Wyoming;PioneerSquare (floor 1);Government Officer;J{59|~QN;PioneerSquare;3415;ea1c9010-e3ff-49a8-b102-b29ceb23fa68;livia.abshire@contoso.com
Rubie Abshire;Abshire, Rubie;Rubie;Abshire;Contoso Ltd;AbshR;rubie.abshire;3883;rubie.abshire@email.com;+98 (223) 338-4600 x712;59229 Breitenberg Junction;11672-6219;South Darrellmouth;North Dakota;Pinehurst (floor 5);Human Banking Orchestrator;w67TXA`};Pinehurst;3883;32802035-87e3-4fb2-a6ca-347a470bbfd4;rubie.abshire@contoso.com
Floyd Adams;Adams, Floyd;Floyd;Adams;Contoso Ltd;AdamF;floyd.adams;4569;floyd.adams@email.com;+850 370-230-7804 x626;41785 Carson Crossing;65550-5824;Zulauffort;Utah;QueenAnneHill (floor 5);Healthcare Liaison;PX{j3*K=;QueenAnneHill;4569;accf56e0-2791-46c0-a522-7822fa65ceaf;floyd.adams@contoso.com
Bertram Altenwerth;Altenwerth, Bertram;Bertram;Altenwerth;Contoso Ltd;AlteB;bertram.altenwe;4441;bertram.altenwerth@email.com;+853 319.518.9777 x062;32489 Williamson Crossing;1045;Sengerburgh;Kansas;Greenwood (floor 6);Legal Coordinator;KV5?hS=`;Greenwood;4441;a3302787-1c68-4fad-ba16-373722ad91cd;bertram.altenwerth@contoso.com
Denese Altenwerth;Altenwerth, Denese;Denese;Altenwerth;Contoso Ltd;AlteD;denese.altenwer;3056;denese.altenwerth@email.com;+250 538-335-7594 x6075;57816 Beahan Summit;79252;New Ngan;West Virginia;ColumbiaCity (floor 7);Advertising Officer;"y""^B2ZbD";ColumbiaCity;3056;7b20c7b6-9604-4084-952b-065990495f5a;denese.altenwerth@contoso.com
Milan Altenwerth;Altenwerth, Milan;Milan;Altenwerth;Contoso Ltd;AlteM;milan.altenwert;509;milan.altenwerth@email.com;+503 789.130.1380 x409;56792 Cierra Station;66170;Runtefurt;Kansas;PhinneyRidge (floor 6);District Marketing Executive;7N{Li_V*;PhinneyRidge;509;2fb66227-7548-4af5-8355-95b6bacced2b;milan.altenwerth@contoso.com
Andres Anderson;Anderson, Andres;Andres;Anderson;Contoso Ltd;AndeA;andres.anderson;7439;andres.anderson@email.com;+239 164.858.7158 x20508;1082 Pollich Drive;50538-3347;East Dorthatown;Georgia;DennyRegrade (floor 7);Future Engineer;HEnWcM3';DennyRegrade;7439;dd1a7234-b701-4b1f-b62d-9710ffab63f5;andres.anderson@contoso.com
Raul Anderson;Anderson, Raul;Raul;Anderson;Contoso Ltd;AndeR;raul.anderson;1527;raul.anderson@email.com;+371 311.633.9869;3076 Ardelia Mountains;09841-1001;North Denisside;Florida;DennyRegrade (floor 4);Mining Administrator;tbVv5'hU;DennyRegrade;1527;2de3a220-3b31-481e-afa5-dfa7b5918829;raul.anderson@contoso.com
