Name;samAccountName;title;Company;Description;EmployeeId;DisplayName;Mailnickname;UserPrincipalName;City;CompanyName;Country;Department;JobTitle;OfficeLocation;mobilePhone;preferredLanguage
Redmond;redmond;Support Engineer;Contoso;Redmond;1;Redmond;redmond;redmond@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Redmond;+1 (847) 067-3625;en-US
Bellevue;bellevue;Support Engineer;Contoso;Bellevue;2;Bellevue;bellevue;bellevue@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Bellevue;+1 (916) 729-5766;en-US
Sodo;sodo;Support Engineer;Contoso;Sodo;3;Sodo;sodo;sodo@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Sodo;+1 (578) 936-7190;en-US
Eastlake;eastlake;Support Engineer;Contoso;Eastlake;4;Eastlake;eastlake;eastlake@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Eastlake;+1 (273) 320-7317;en-US
Fremont;fremont;Support Engineer;Contoso;Fremont;5;Fremont;fremont;fremont@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Fremont;+1 (753) 564-8703;en-US
Greenwood;greenwood;Support Engineer;Contoso;Greenwood;6;Greenwood;greenwood;greenwood@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Greenwood;+1 (403) 928-6788;en-US
Madrona;madrona;Support Engineer;Contoso;Madrona;7;Madrona;madrona;madrona@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Madrona;+1 (843) 249-5945;en-US
Northgate;northgate;Support Engineer;Contoso;Northgate;8;Northgate;northgate;northgate@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Northgate;+1 (064) 602-9980;en-US
Pinehurst;pinehurst;Support Engineer;Contoso;Pinehurst;9;Pinehurst;pinehurst;pinehurst@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Pinehurst;+1 (753) 564-8703;en-US
Leschi;leschi;Support Engineer;Contoso;Leschi;10;Leschi;leschi;leschi@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Leschi;+1 (403) 928-6788;en-US
Wedgewood;wedgewood;Support Engineer;Contoso;Wedgewood;11;Wedgewood;wedgewood;wedgewood@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;Wedgewood;+1 (843) 249-5945;en-US
CapitolHill;capitolhill;Support Engineer;Contoso;CapitolHill;12;CapitolHill;capitolhill;capitolhill@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;CapitolHill;+1 (064) 602-9980;en-US
ColumbiaCity;columbiacity;Support Engineer;Contoso;ColumbiaCity;13;ColumbiaCity;columbiacity;columbiacity@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;ColumbiaCity;+1 (701) 735-5824;en-US
QueenAnneHill;queenaannehill;Support Engineer;Contoso;QueenAnneHill;14;QueenAnneHill;queenaannehill;queenannehill@powershell.world;Seattle;Contoso;US;Seattle IT Support;Support Engineer;QueenAnneHill;+1 (739) 999-8827;en-US
Westminster;westminster;Support Engineer;Contoso;Westminster;21;Westminster;westminster;westminster@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Westminster;+44 (020) 7719 652;en-GB
Barnet;barnet;Support Engineer;Contoso;Barnet;22;Barnet;barnet;barnet@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Barnet;+44 (020) 7719 677;en-GB
Chelsea;chelsea;Support Engineer;Contoso;Chelsea;23;Chelsea;chelsea;chelsea@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Chelsea;+44 (020) 7719 640;en-GB
Ealing;ealing;Support Engineer;Contoso;Ealing;24;Ealing;ealing;ealing@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Ealing;+44 (020) 7719 641;en-GB
Fulham;fulham;Support Engineer;Contoso;Fulham;25;Fulham;fulham;fulham@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Fulham;+44 (020) 7719 642;en-GB
Greenwich;greenwich;Support Engineer;Contoso;Greenwich;26;Greenwich;greenwich;greenwich@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Greenwich;+44 (020) 7719 643;en-GB
Hackney;hackney;Support Engineer;Contoso;Hackney;27;Hackney;hackney;hackney@powershell.world;London;Contoso;GB;London IT Support;Support Engineer;Hackney;+44 (020) 7719 644;en-GB
