EmployeeNumber;Location;LabDomain;GivenName;SurName;SamAccountName;Password;RDP-Adress;PORT;EmailAddress;Name;DisplayName;Department;Title;City;Country;Company;HomePage;Description;
1;Redmond;contoso.com;Bill;Gates;GateB;Pa$$w0rd;1.1.1.1;;GateB@contoso.com;Bill Gates;Gates, Bill;Hall of fame;Founder;Seattle;US;Contoso;https://www.contoso.com;Redmond;
2;Belltown;contoso.com;Paul;Allen;AlleP;Pa$$w0rd;1.1.1.1;;AlleP@contoso.com;Paul Allen;Allen, Paul;Hall of fame;Founder;Seattle;US;Contoso;https://www.contoso.com;Belltown;
3;CapitolHill ;contoso.com;Andrea;Lewis;LewiA;Pa$$w0rd;1.1.1.1;;LewiA@contoso.com;Andrea Lewis;Lewis, Andrea;Engineering;Technical Writer;Seattle;US;Contoso;https://www.contoso.com;CapitolHill ;
4;Eastlake;contoso.com;Maria;Wood;WoodM;Pa$$w0rd;1.1.1.1;;WoodM@contoso.com;Maria Wood;Wood, Maria;Finance;Bookkeeper;Seattle;US;Contoso;https://www.contoso.com;Eastlake;
5;Fremont;contoso.com;Steve;Ballmer;BallS;Pa$$w0rd;1.1.1.1;;BallS@contoso.com;Steve Ballmer;Ballmer, Steve;Hall of fame;Former CEO;Seattle;US;Contoso;https://www.contoso.com;Fremont;
6;Greenwood;contoso.com;Satya;Nadella;NadeS;Pa$$w0rd;1.1.1.1;;NadeS@contoso.com;Satya Nadella;Nadella, Satya;Board;CEO;Seattle;US;Contoso;https://www.contoso.com;Greenwood;
7;LakeCity;contoso.com;Mark;Russinovich;RussM;Pa$$w0rd;1.1.1.1;;RussM@contoso.com;Mark Russinovich;Russinovich, Mark;Cloud Services;CTO Azure;Seattle;US;Contoso;https://www.contoso.com;LakeCity;
8;Northgate;contoso.com;Gwen;Houston;HousG;Pa$$w0rd;1.1.1.1;;HousG@contoso.com;Gwen Houston;Houston, Gwen;Management;EOO;Seattle;US;Contoso;https://www.contoso.com;Northgate;
9;Pinehurst;contoso.com;Amy;Hood;HoodA;Pa$$w0rd;1.1.1.1;;HoodA@contoso.com;Amy Hood;Hood, Amy;Finance;CFO;Seattle;US;Contoso;https://www.contoso.com;Pinehurst;
10;Sodo;contoso.com;Reid;Hoffman;HoffR;Pa$$w0rd;1.1.1.1;;HoffR@contoso.com;Reid Hoffman;Hoffman, Reid;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Sodo;
11;Wallingford;contoso.com;Hugh;Johnston;JohnH;Pa$$w0rd;1.1.1.1;;JohnH@contoso.com;Hugh Johnston;Johnston, Hugh;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Wallingford;
12;Ballard;contoso.com;Teri;List-Stoll;ListT;Pa$$w0rd;1.1.1.1;;ListT@contoso.com;Teri List-Stoll;List-Stoll, Teri;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Ballard;
13;ColumbiaCity;contoso.com;Sandar;Peterson;PeteS;Pa$$w0rd;1.1.1.1;;PeteS@contoso.com;Sandar Peterson;Peterson, Sandar;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;ColumbiaCity;
14;DennyRegrade ;contoso.com;Penny;Pritzker;PritP;Pa$$w0rd;1.1.1.1;;PritP@contoso.com;Penny Pritzker;Pritzker, Penny;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;DennyRegrade ;
15;Laurelhurst;contoso.com;Carlos;Rodriguez;RodrC;Pa$$w0rd;1.1.1.1;;RodrC@contoso.com;Carlos Rodriguez;Rodriguez, Carlos;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Laurelhurst;
16;Leschi;contoso.com;Charles;Scharf;SchaC;Pa$$w0rd;1.1.1.1;;SchaC@contoso.com;Charles Scharf;Scharf, Charles;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Leschi;
17;Madrona;contoso.com;John;Stanton;StanJ;Pa$$w0rd;1.1.1.1;;StanJ@contoso.com;John Stanton;Stanton, John;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;Madrona;
18;MapleLeaf;contoso.com;John;Thompson;ThomJ;Pa$$w0rd;1.1.1.1;;ThomJ@contoso.com;John Thompson;Thompson, John;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;MapleLeaf;
19;PioneerSquare;contoso.com;Emma;Walmsley;WalmE;Pa$$w0rd;1.1.1.1;;WalmE@contoso.com;Emma Walmsley;Walmsley, Emma;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;PioneerSquare;
20;PhinneyRidge;contoso.com;Padmasree;Warrior;WarrP;Pa$$w0rd;1.1.1.1;;WarrP@contoso.com;Padmasree Warrior;Warrior, Padmasree;Board;Board member;Seattle;US;Contoso;https://www.contoso.com;PhinneyRidge;
21;QueenAnneHill;contoso.com;Dave;Cutler;CutlD;Pa$$w0rd;1.1.1.1;;CutlD@contoso.com;Dave Cutler;Cutler, Dave;Technical Fellow;Software Engineer;Seattle;US;Contoso;https://www.contoso.com;QueenAnneHill;
22;Wedgewood;contoso.com;Anders;Hejlsberg;HejlA;Pa$$w0rd;1.1.1.1;;HejlA@contoso.com;Anders Hejlsberg;Hejlsberg, Anders;Technical Fellow;Software Engineer;Seattle;US;Contoso;https://www.contoso.com;Wedgewood;
